sweep_parameter:V , band_info:CB:sign, band_info:IB:sign, band_info:VB:sign, avg:current_CB:n_contact, avg:current_CB:p_contact, tot:current_CB:n_contact, tot:current_CB:p_contact, avg:g_CB:fsf, avg:g_CB:n             , avg:g_CB:p            , avg:g_CB:I             , tot:g_CB:fsf, tot:g_CB:n         , tot:g_CB:p        , tot:g_CB:I         , tot:g_opt_ci_CB:fsf, tot:g_opt_ci_CB:n, tot:g_opt_ci_CB:p, tot:g_opt_ci_CB:I  , tot:g_opt_iv_CB:fsf, tot:g_opt_iv_CB:n, tot:g_opt_iv_CB:p, tot:g_opt_iv_CB:I, tot:g_opt_cv_CB:fsf, tot:g_opt_cv_CB:n  , tot:g_opt_cv_CB:p , tot:g_opt_cv_CB:I , tot:g_nr_top_CB:fsf, tot:g_nr_top_CB:n, tot:g_nr_top_CB:p, tot:g_nr_top_CB:I  , tot:g_nr_bottom_CB:fsf, tot:g_nr_bottom_CB:n, tot:g_nr_bottom_CB:p, tot:g_nr_bottom_CB:I, avg:current_IB:n_contact, avg:current_IB:p_contact, tot:current_IB:n_contact, tot:current_IB:p_contact, avg:g_IB:fsf, avg:g_IB:n, avg:g_IB:p, avg:g_IB:I         , tot:g_IB:fsf, tot:g_IB:n, tot:g_IB:p, tot:g_IB:I          , tot:g_opt_ci_IB:fsf, tot:g_opt_ci_IB:n, tot:g_opt_ci_IB:p, tot:g_opt_ci_IB:I  , tot:g_opt_iv_IB:fsf, tot:g_opt_iv_IB:n, tot:g_opt_iv_IB:p, tot:g_opt_iv_IB:I , tot:g_opt_cv_IB:fsf, tot:g_opt_cv_IB:n, tot:g_opt_cv_IB:p, tot:g_opt_cv_IB:I, tot:g_nr_top_IB:fsf, tot:g_nr_top_IB:n, tot:g_nr_top_IB:p, tot:g_nr_top_IB:I , tot:g_nr_bottom_IB:fsf, tot:g_nr_bottom_IB:n, tot:g_nr_bottom_IB:p, tot:g_nr_bottom_IB:I, avg:current_VB:n_contact, avg:current_VB:p_contact, tot:current_VB:n_contact, tot:current_VB:p_contact, avg:g_VB:fsf, avg:g_VB:n             , avg:g_VB:p            , avg:g_VB:I             , tot:g_VB:fsf, tot:g_VB:n         , tot:g_VB:p        , tot:g_VB:I         , tot:g_opt_ci_VB:fsf, tot:g_opt_ci_VB:n, tot:g_opt_ci_VB:p, tot:g_opt_ci_VB:I, tot:g_opt_iv_VB:fsf, tot:g_opt_iv_VB:n, tot:g_opt_iv_VB:p, tot:g_opt_iv_VB:I , tot:g_opt_cv_VB:fsf, tot:g_opt_cv_VB:n  , tot:g_opt_cv_VB:p , tot:g_opt_cv_VB:I , tot:g_nr_top_VB:fsf, tot:g_nr_top_VB:n, tot:g_nr_top_VB:p, tot:g_nr_top_VB:I, tot:g_nr_bottom_VB:fsf, tot:g_nr_bottom_VB:n, tot:g_nr_bottom_VB:p, tot:g_nr_bottom_VB:I, tot:gother_forward_ci:fsf, tot:gother_forward_ci:n, tot:gother_forward_ci:p, tot:gother_forward_ci:I, tot:gabs_forward_ci:fsf, tot:gabs_forward_ci:n, tot:gabs_forward_ci:p, tot:gabs_forward_ci:I, tot:gother_forward_iv:fsf, tot:gother_forward_iv:n, tot:gother_forward_iv:p, tot:gother_forward_iv:I, tot:gabs_forward_iv:fsf, tot:gabs_forward_iv:n, tot:gabs_forward_iv:p, tot:gabs_forward_iv:I, tot:gother_forward_cv:fsf, tot:gother_forward_cv:n, tot:gother_forward_cv:p, tot:gother_forward_cv:I, tot:gabs_forward_cv:fsf, tot:gabs_forward_cv:n, tot:gabs_forward_cv:p, tot:gabs_forward_cv:I
#                 ,                  ,                  ,                  , mA/cm^2                 , mA/cm^2                 , mA                      , mA                      , cm^-3/s     , cm^-3/s                , cm^-3/s               , cm^-3/s                , 1/s         , 1/s                , 1/s               , 1/s                , 1/s                , 1/s              , 1/s              , 1/s                , 1/s                , 1/s              , 1/s              , 1/s              , 1/s                , 1/s                , 1/s               , 1/s               , 1/s                , 1/s              , 1/s              , 1/s                , 1/s                   , 1/s                 , 1/s                 , 1/s                 , mA/cm^2                 , mA/cm^2                 , mA                      , mA                      , cm^-3/s     , cm^-3/s   , cm^-3/s   , cm^-3/s            , 1/s         , 1/s       , 1/s       , 1/s                 , 1/s                , 1/s              , 1/s              , 1/s                , 1/s                , 1/s              , 1/s              , 1/s               , 1/s                , 1/s              , 1/s              , 1/s              , 1/s                , 1/s              , 1/s              , 1/s               , 1/s                   , 1/s                 , 1/s                 , 1/s                 , mA/cm^2                 , mA/cm^2                 , mA                      , mA                      , cm^-3/s     , cm^-3/s                , cm^-3/s               , cm^-3/s                , 1/s         , 1/s                , 1/s               , 1/s                , 1/s                , 1/s              , 1/s              , 1/s              , 1/s                , 1/s              , 1/s              , 1/s               , 1/s                , 1/s                , 1/s               , 1/s               , 1/s                , 1/s              , 1/s              , 1/s              , 1/s                   , 1/s                 , 1/s                 , 1/s                 , 1/s                      , 1/s                    , 1/s                    , 1/s                    , 1/s                    , 1/s                  , 1/s                  , 1/s                  , 1/s                      , 1/s                    , 1/s                    , 1/s                    , 1/s                    , 1/s                  , 1/s                  , 1/s                  , 1/s                      , 1/s                    , 1/s                    , 1/s                    , 1/s                    , 1/s                  , 1/s                  , 1/s
0.0               , -1               , -1               ,                 1, -50042.3332876654       , 0.0                     , -0.0005004233328766539  , 0.0                     , 0.0         , 1.0077135119101923e+23 , 1.416034963134266e+24 , 9.779700352570573e+23  , 0.0         , 100771351191.0192  , 1416034963134.2656, 1606590458896.1465 , 0.0                , 0.0              , 0.0              , 999212244529.3909  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771351191.01904 , 1416034963134.2622, 664737689310.3555 , 0.0                , 0.0              , 0.0              , -57359474943.60049 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3032076770.5196915 , 0.0         , 0.0       , 0.0       , 0.004981037694960833, 0.0                , 0.0              , 0.0              , -999212244529.3909 , 0.0                , 0.0              , 0.0              , 997122022733.861  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 57359474943.60049 , 0.0                   , 0.0                 , 0.0                 , -55269253148.06602  , 6.234851527563687e-18   , -50042.333287662885     , 6.234851527563686e-26   , -0.0005004233328766288  , 0.0         , 1.0077135119101923e+23 , 1.416034963134266e+24 , 9.77970035257061e+23   , 0.0         , 100771351191.0192  , 1416034963134.2656, 1606590458896.1526 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 997122022733.861  , 0.0                , 100771351191.01904 , 1416034963134.2622, 664737689310.3555 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -55269253148.06602  , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.7643169755864e-65    , 7594382.1630361015   , 374007.13014633284   , 999802285225.7279    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.608062482284964e-64  , 265377.3519371072    , 5972399.585144583    , 997294483967.2722    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.95057232      , 100777507147.93427   , 1416085781024.6045   , 664737696561.1868
0.02              , -1               , -1               ,                 1, -50033.184456251314     , 0.0                     , -0.0005003318445625132  , 0.0                     , 0.0         , 1.0077135101545405e+23 , 1.416034951126952e+24 , 9.77622441824976e+23   , 0.0         , 100771351015.45403 , 1416034951126.9517, 1606019439057.6807 , 0.0                , 0.0              , 0.0              , 999227630914.9885  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771351015.45392 , 1416034951126.9497, 664737689158.2844 , 0.0                , 0.0              , 0.0              , -57945881015.592995, 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 8391212980896473.0 , 0.0         , 0.0       , 0.0       , 13784.924105706625  , 0.0                , 0.0              , 0.0              , -999227630914.9885 , 0.0                , 0.0              , 0.0              , 997098682432.4926 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 57945881015.592995, 0.0                   , 0.0                 , 0.0                 , -55816918748.172615 , 6.234851527563687e-18   , -50033.18445624886      , 6.234851527563686e-26   , -0.0005003318445624885  , 0.0         , 1.0077135101545405e+23 , 1.416034951126952e+24 , 9.776224502161885e+23  , 0.0         , 100771351015.45403 , 1416034951126.9517, 1606019452842.604  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 997098682432.4926 , 0.0                , 100771351015.45392 , 1416034951126.9497, 664737689158.2844 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -55816918748.172615 , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.749073926318382e-65  , 7594383.787045905    , 372810.47609728976   , 999823786463.4161    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.609586787211839e-64  , 265173.7403528595    , 5973596.23174552     , 997272913409.6737    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.950572364     , 100777507147.93423   , 1416085781024.6057   , 664737696561.187
0.04              , -1               , -1               ,                 1, -50023.74303795908      , 0.0                     , -0.0005002374303795907  , 0.0                     , 0.0         , 1.0077135084566534e+23 , 1.4160349390691124e+24, 9.772637395880425e+23  , 0.0         , 100771350845.66531 , 1416034939069.112 , 1605430169887.1887 , 0.0                , 0.0              , 0.0              , 999243080597.0323  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771350845.66512 , 1416034939069.1094, 664737688998.6068 , 0.0                , 0.0              , 0.0              , -58550599708.452194, 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 1479398545096268.0 , 0.0         , 0.0       , 0.0       , 2430.32761922176    , 0.0                , 0.0              , 0.0              , -999243080597.0323 , 0.0                , 0.0              , 0.0              , 997075027816.2526 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 58550599708.452194, 0.0                   , 0.0                 , 0.0                 , -56382544497.34409  , 6.234851527563687e-18   , -50023.74303795675      , 6.234851527563686e-26   , -0.0005002374303795674  , 0.0         , 1.0077135084566534e+23 , 1.4160349390691124e+24, 9.772637410674413e+23  , 0.0         , 100771350845.66531 , 1416034939069.112 , 1605430172317.5166 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 997075027816.2526 , 0.0                , 100771350845.66512 , 1416034939069.1094, 664737688998.6068 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -56382544497.34409  , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.733868161968222e-65  , 7594375.7899836      , 371616.7419443094    , 999845541924.9952    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.611107363646922e-64  , 264977.3718418655    , 5974789.958465394    , 997251086602.4346    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.950572304     , 100777507147.93419   , 1416085781024.6042   , 664737696561.186
0.06              , -1               , -1               ,                 1, -50013.98766994861      , 0.0                     , -0.000500139876699486   , 0.0                     , 0.0         , 1.0077135068156955e+23 , 1.41603492695759e+24  , 9.768931045041565e+23  , 0.0         , 100771350681.56952 , 1416034926957.5896, 1604821297664.0771 , 0.0                , 0.0              , 0.0              , 999258579861.6309  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771350681.56934 , 1416034926957.587 , 664737688830.6188 , 0.0                , 0.0              , 0.0              , -59174971028.17406 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 4160655455789321.5 , 0.0         , 0.0       , 0.0       , 6835.045161959715   , 0.0                , 0.0              , 0.0              , -999258579861.6309 , 0.0                , 0.0              , 0.0              , 997051054355.0977 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 59174971028.17406 , 0.0                   , 0.0                 , 0.0                 , -56967438686.5962   , 6.234851527563687e-18   , -50013.98766994594      , 6.234851527563686e-26   , -0.0005001398766994594  , 0.0         , 1.0077135068156955e+23 , 1.41603492695759e+24  , 9.768931086648129e+23  , 0.0         , 100771350681.56952 , 1416034926957.5896, 1604821304499.124  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 997051054355.0977 , 0.0                , 100771350681.56934 , 1416034926957.587 , 664737688830.6188 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -56967438686.5962   , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.718698448700276e-65  , 7594358.296778679    , 370425.8305494145    , 999867551866.9628    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.612624334973788e-64  , 264788.11955501477   , 5975980.862441587    , 997229003245.5653    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.950572334     , 100777507147.93428   , 1416085781024.6052   , 664737696561.187
0.08              , -1               , -1               ,                 1, -50003.894472630935     , 0.0                     , -0.0005000389447263093  , 0.0                     , 0.0         , 1.007713505230637e+23  , 1.4160349147878522e+24, 9.765096355960602e+23  , 0.0         , 100771350523.06367 , 1416034914787.8518, 1604191342280.1487 , 0.0                , 0.0              , 0.0              , 999274116101.7677  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771350523.06352 , 1416034914787.849 , 664737688653.5056 , 0.0                , 0.0              , 0.0              , -59820462475.12595 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 4033272440765910.0 , 0.0         , 0.0       , 0.0       , 6625.78278255742    , 0.0                , 0.0              , 0.0              , -999274116101.7677 , 0.0                , 0.0              , 0.0              , 997026754477.0612 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 59820462475.12595 , 0.0                   , 0.0                 , 0.0                 , -57573094224.63808  , 4.341585355033259e-18   , -50003.89447262856      , 4.341585355033258e-26   , -0.0005000389447262855  , 0.0         , 1.007713505230637e+23  , 1.4160349147878522e+24, 9.765096396293322e+23  , 0.0         , 100771350523.06367 , 1416034914787.8518, 1604191348905.9307 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 997026754477.0612 , 0.0                , 100771350523.06352 , 1416034914787.849 , 664737688653.5056 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -57573094224.63808  , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.703562145057148e-65  , 7594331.424769815    , 369237.5342474441    , 999889818982.0203    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.61413796533817e-64   , 264605.8413705981    , 5977169.151338043    , 997206660593.9723    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.950572334     , 100777507147.93431   , 1416085781024.6055   , 664737696561.1875
0.1               , -1               , -1               ,                 1, -49993.436847228324     , 0.0                     , -0.0004999343684722831  , 0.0                     , 0.0         , 1.007713503700234e+23  , 1.4160349025553505e+24, 9.761123208040562e+23  , 0.0         , 100771350370.02336 , 1416034902555.35  , 1603538641143.0999 , 0.0                , 0.0              , 0.0              , 999289673541.0027  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771350370.02322 , 1416034902555.3464, 664737688466.3398 , 0.0                , 0.0              , 0.0              , -60488720864.24269 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3904210091014927.0 , 0.0         , 0.0       , 0.0       , 6413.761624201434   , 0.0                , 0.0              , 0.0              , -999289673541.0027 , 0.0                , 0.0              , 0.0              , 997002121401.737  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 60488720864.24269 , 0.0                   , 0.0                 , 0.0                 , -58201162311.21463  , 6.234851527563687e-18   , -49993.436847226        , 6.234851527563686e-26   , -0.0004999343684722599  , 0.0         , 1.007713503700234e+23  , 1.4160349025553505e+24, 9.76112324708266e+23   , 0.0         , 100771350370.02336 , 1416034902555.35  , 1603538647556.861  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 997002121401.737  , 0.0                , 100771350370.02322 , 1416034902555.3464, 664737688466.3398 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -58201162311.21463  , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.688456956441618e-65  , 7594295.326870052    , 368051.67258893396   , 999912344662.8517    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.615648484199804e-64  , 264430.37168322905   , 5978355.005603057    , 997184057205.9677    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.95057231      , 100777507147.93416   , 1416085781024.6045   , 664737696561.187
0.12              , -1               , -1               ,                 1, -49982.585054212504     , 0.0                     , -0.000499825850542125   , 0.0                     , 0.0         , 1.007713502223202e+23  , 1.4160348902551764e+24, 9.757000302208308e+23  , 0.0         , 100771350222.32018 , 1416034890255.176 , 1602861338062.8184 , 0.0                , 0.0              , 0.0              , 999305234535.8488  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771350222.31998 , 1416034890255.174 , 664737688268.0613 , 0.0                , 0.0              , 0.0              , -61181584741.09354 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3773188540968182.0 , 0.0         , 0.0       , 0.0       , 6198.521929092007   , 0.0                , 0.0              , 0.0              , -999305234535.8488 , 0.0                , 0.0              , 0.0              , 996977147577.1877 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 61181584741.09354 , 0.0                   , 0.0                 , 0.0                 , -58853491583.910446 , 6.234851527563687e-18   , -49982.58505421007      , 6.234851527563686e-26   , -0.0004998258505421006  , 0.0         , 1.007713502223202e+23  , 1.4160348902551764e+24, 9.757000339940195e+23  , 0.0         , 100771350222.32018 , 1416034890255.176 , 1602861344261.3406 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 996977147577.1877 , 0.0                , 100771350222.31998 , 1416034890255.174 , 664737688268.0613 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -58853491583.910446 , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.673380567962814e-65  , 7594250.157548609    , 366868.0635122375    , 999935130434.0046    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.617156123047751e-64  , 264261.54208041495   , 5979538.607297209    , 997161191506.6985    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.95057231      , 100777507147.93416   , 1416085781024.6047   , 664737696561.1871
0.14              , -1               , -1               ,                 1, -49971.30569946662      , 0.0                     , -0.0004997130569946661  , 0.0                     , 0.0         , 1.0077135007981222e+23 , 1.416034877882041e+24 , 9.752714950884988e+23  , 0.0         , 100771350079.8122  , 1416034877882.0408, 1602157348748.1301 , 0.0                , 0.0              , 0.0              , 999320778887.3357  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771350079.81201 , 1416034877882.0388, 664737688057.4475 , 0.0                , 0.0              , 0.0              , -61901118196.6551  , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3639902936125865.0 , 0.0         , 0.0       , 0.0       , 5979.562888090732   , 0.0                , 0.0              , 0.0              , -999320778887.3357 , 0.0                , 0.0              , 0.0              , 996951824919.5599 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 61901118196.6551  , 0.0                   , 0.0                 , 0.0                 , -59532158249.31665  , 4.972674079210068e-18   , -49971.30569946408      , 4.9726740792100675e-26  , -0.0004997130569946407  , 0.0         , 1.0077135007981222e+23 , 1.416034877882041e+24 , 9.752714987284008e+23  , 0.0         , 100771350079.8122  , 1416034877882.0408, 1602157354727.6914 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 996951824919.5599 , 0.0                , 100771350079.81201 , 1416034877882.0388, 664737688057.4475 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -59532158249.31665  , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.658330666497918e-65  , 7594196.0855540475   , 365686.5250756661    , 999958177615.9866    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.618661113194311e-64  , 264099.1717296936    , 5980720.1383610405   , 997138062125.1925    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.95057232      , 100777507147.93423   , 1416085781024.6047   , 664737696561.1865
0.16              , -1               , -1               ,                 1, -49959.561131522474     , 0.0                     , -0.0004995956113152247  , 0.0                     , 0.0         , 1.0077134994234286e+23 , 1.4160348654302096e+24, 9.74825284897556e+23   , 0.0         , 100771349942.34283 , 1416034865430.2092, 1601424323185.3965 , 0.0                , 0.0              , 0.0              , 999336283378.2253  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771349942.3427  , 1416034865430.2056, 664737687833.0824 , 0.0                , 0.0              , 0.0              , -62649648025.912834, 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3504035716739076.5 , 0.0         , 0.0       , 0.0       , 5756.362820119131   , 0.0                , 0.0              , 0.0              , -999336283378.2253 , 0.0                , 0.0              , 0.0              , 996926144767.3302 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 62649648025.912834, 0.0                   , 0.0                 , 0.0                 , -60239503658.654526 , 4.972674079210068e-18   , -49959.561131519855     , 4.9726740792100675e-26  , -0.0004995956113151985  , 0.0         , 1.0077134994234286e+23 , 1.4160348654302096e+24, 9.748252884015918e+23  , 0.0         , 100771349942.34283 , 1416034865430.2092, 1601424328941.7593 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 996926144767.3302 , 0.0                , 100771349942.3427  , 1416034865430.2056, 664737687833.0824 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -60239503658.654526 , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.643304958420961e-65  , 7594133.29669269     , 364506.8768489323    , 999981487249.875     , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.620163684002088e-64  , 263943.06529553194   , 5981899.779223741    , 997114667970.1024    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.950572334     , 100777507147.9342    , 1416085781024.6052   , 664737696561.1879
0.18              , -1               , -1               ,                 1, -49947.30871441648      , 0.0                     , -0.0004994730871441648  , 0.0                     , 0.0         , 1.0077134980973803e+23 , 1.4160348528934549e+24, 9.743597797600641e+23  , 0.0         , 100771349809.738   , 1416034852893.4546, 1600659600253.7117 , 0.0                , 0.0              , 0.0              , 999351721208.1405  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771349809.73784 , 1416034852893.452 , 664737687593.314  , 0.0                , 0.0              , 0.0              , -63429808547.74184 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3365266236296780.5 , 0.0         , 0.0       , 0.0       , 5528.39497322496    , 0.0                , 0.0              , 0.0              , -999351721208.1405 , 0.0                , 0.0              , 0.0              , 996900097832.7236 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 63429808547.74184 , 0.0                   , 0.0                 , 0.0                 , -60978179643.9308   , 6.234851527563687e-18   , -49947.308714413826     , 6.234851527563686e-26   , -0.0004994730871441381  , 0.0         , 1.0077134980973803e+23 , 1.4160348528934549e+24, 9.74359783125331e+23   , 0.0         , 100771349809.738   , 1416034852893.4546, 1600659605782.1077 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 996900097832.7236 , 0.0                , 100771349809.73784 , 1416034852893.452 , 664737687593.314  , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -60978179643.9308   , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.628301193163003e-65  , 7594061.997275139    , 363328.9417626966    , 1000005059999.717    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.621664060527957e-64  , 263793.0103929829    , 5983077.706953573    , 997091008327.7109    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.95057233      , 100777507147.93437   , 1416085781024.605    , 664737696561.1876
0.2               , -1               , -1               ,                 1, -49934.49994599865      , 0.0                     , -0.0004993449994599864  , 0.0                     , 0.0         , 1.0077134968180246e+23 , 1.4160348402649837e+24, 9.738731369111681e+23  , 0.0         , 100771349681.80244 , 1416034840264.9834, 1599860152694.236  , 0.0                , 0.0              , 0.0              , 999367061300.553   , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 100771349681.80229 , 1416034840264.98  , 664737687336.2019 , 0.0                , 0.0              , 0.0              , -64244595942.51825 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                     , 0.0                     , 0.0                     , 0.0                     , 0.0         , 0.0       , 0.0       , 3223260446245916.5 , 0.0         , 0.0       , 0.0       , 5295.1105788378045  , 0.0                , 0.0              , 0.0              , -999367061300.553  , 0.0                , 0.0              , 0.0              , 996873674151.0719 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 64244595942.51825 , 0.0                   , 0.0                 , 0.0                 , -61751203497.9267   , 4.972674079210068e-18   , -49934.499945996155     , 4.9726740792100675e-26  , -0.0004993449994599614  , 0.0         , 1.0077134968180246e+23 , 1.4160348402649837e+24, 9.73873140134429e+23   , 0.0         , 100771349681.80244 , 1416034840264.9834, 1599860157989.3474 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                , 0.0              , 0.0              , 996873674151.0719 , 0.0                , 100771349681.80229 , 1416034840264.98  , 664737687336.2019 , 0.0                , 0.0              , 0.0              , 0.0              , 0.0                   , 0.0                 , 0.0                 , -61751203497.9267   , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 4.613317194432317e-65  , 7593982.4184189765   , 362152.5485600559    , 1000028896026.016    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 7.623162460401097e-64  , 263648.7744539283    , 5984254.092806355    , 997067082989.0564    , 0.0                      , 0.0                    , 0.0                    , 0.0                    , 62589837.9505723       , 100777507147.9339    , 1416085781024.6042   , 664737696561.185
