,X
0,0.0
1,0.0005
2,0.0010999999999999998
3,0.0018199999999999998
4,0.0026839999999999998
5,0.0037208
6,0.004964959999999999
7,0.006457951999999999
8,0.008249542399999999
9,0.010399450879999998
10,0.012979341055999996
11,0.016075209267199995
12,0.019790251120639993
13,0.024248301344767992
14,0.02959796161372159
15,0.03417836929097727
16,0.03784269543278181
17,0.04077415634622545
18,0.04311932507698036
19,0.04499546006158429
20,0.046496368049267434
21,0.047697094439413945
22,0.04865767555153116
23,0.049426140441224925
24,0.05
25,0.0505
26,0.051100000000000007
27,0.051820000000000005
28,0.05268400000000001
29,0.05372080000000001
30,0.054964960000000014
31,0.05645795200000002
32,0.05824954240000002
33,0.060399450880000025
34,0.06297934105600003
35,0.06607520926720004
36,0.06979025112064004
37,0.07424830134476804
38,0.07959796161372164
39,0.08601755393646596
40,0.09372106472375914
41,0.10296527766851096
42,0.11405833320221315
43,0.12736999984265576
44,0.1433439998111869
45,0.16251279977342425
46,0.18251279977342424
47,0.20251279977342423
48,0.22251279977342422
49,0.24251279977342421
50,0.26251279977342423
51,0.28251279977342425
52,0.30251279977342427
53,0.3225127997734243
54,0.3425127997734243
55,0.3625127997734243
56,0.38251279977342434
57,0.40251279977342436
58,0.4225127997734244
59,0.4425127997734244
60,0.4625127997734244
61,0.48251279977342443
62,0.5025127997734244
63,0.5225127997734245
64,0.5425127997734245
65,0.5625127997734245
66,0.5825127997734245
67,0.6025127997734245
68,0.6225127997734246
69,0.6425127997734246
70,0.6625127997734246
71,0.6825127997734246
72,0.7025127997734246
73,0.7225127997734246
74,0.7425127997734247
75,0.7625127997734247
76,0.7825127997734247
77,0.8025127997734247
78,0.8225127997734247
79,0.8425127997734247
80,0.8625127997734248
81,0.8825127997734248
82,0.9025127997734248
83,0.9225127997734248
84,0.9425127997734248
85,0.9625127997734249
86,0.9805102398187399
87,0.9949081918549919
88,1.0064265534839936
89,1.0156412427871948
90,1.023012994229756
91,1.0289103953838048
92,1.0336283163070439
93,1.037402653045635
94,1.040422122436508
95,1.0428376979492064
96,1.0447701583593652
97,1.046316126687492
98,1.0475529013499936
99,1.048542321079995
100,1.0493338568639958
101,1.0499670854911967
102,1.05
103,1.0505
104,1.0511
105,1.05182
106,1.052684
107,1.0537208
108,1.05496496
109,1.056457952
110,1.0582495423999998
111,1.0603994508799996
112,1.0629793410559996
113,1.0660752092671995
114,1.0697902511206394
115,1.0742483013447672
116,1.0795979616137206
117,1.0860175539364647
118,1.0937210647237576
119,1.102965277668509
120,1.114058333202211
121,1.1273699998426532
122,1.1433439998111838
123,1.1625127997734206
124,1.1825127997734206
125,1.2025127997734206
126,1.2225127997734206
127,1.2425127997734207
128,1.2625127997734207
129,1.2825127997734207
130,1.3025127997734207
131,1.3225127997734207
132,1.3425127997734208
133,1.3625127997734208
134,1.3825127997734208
135,1.4025127997734208
136,1.4225127997734208
137,1.4425127997734208
138,1.4625127997734209
139,1.4825127997734209
140,1.502512799773421
141,1.522512799773421
142,1.542512799773421
143,1.562512799773421
144,1.582512799773421
145,1.602512799773421
146,1.622512799773421
147,1.642512799773421
148,1.662512799773421
149,1.682512799773421
150,1.702512799773421
151,1.722512799773421
152,1.742512799773421
153,1.7625127997734211
154,1.7825127997734211
155,1.8025127997734212
156,1.8225127997734212
157,1.8425127997734212
158,1.8625127997734212
159,1.8825127997734212
160,1.9025127997734212
161,1.9225127997734213
162,1.9425127997734213
163,1.9625127997734213
164,1.9795272679214444
165,1.9931388424398628
166,2.0040281020545976
167,2.0127395097463854
168,2.0197086358998155
169,2.02528393682256
170,2.0297441775607554
171,2.033312370151312
172,2.036166924223757
173,2.038450567481713
174,2.0402774820880776
175,2.0417390137731695
176,2.042908239121243
177,2.0438436193997016
178,2.0445919236224688
179,2.0450851405135366
180,2.045585140513537
181,2.0461851405135367
182,2.0469051405135366
183,2.0477691405135365
184,2.0488059405135366
185,2.0500501005135368
186,2.051543092513537
187,2.053334682913537
188,2.0554845913935367
189,2.0580644815695366
190,2.0611603497807365
191,2.0648753916341764
192,2.0693334418583045
193,2.074683102127258
194,2.0811026944500024
195,2.0888062052372955
196,2.0980504181820474
197,2.1091434737157497
198,2.1224551403561924
199,2.1384291403247238
200,2.157597940286961
201,2.177597940286961
202,2.197597940286961
203,2.2175979402869612
204,2.2375979402869612
205,2.2575979402869613
206,2.2775979402869613
207,2.2975979402869613
208,2.3175979402869613
209,2.3375979402869613
210,2.3575979402869613
211,2.3775979402869614
212,2.3975979402869614
213,2.4175979402869614
214,2.4375979402869614
215,2.4575979402869614
216,2.4775979402869615
217,2.4975979402869615
218,2.5175979402869615
219,2.5375979402869615
220,2.5575979402869615
221,2.5775979402869615
222,2.5975979402869616
223,2.6175979402869616
224,2.6375979402869616
225,2.6575979402869616
226,2.6775979402869616
227,2.6975979402869616
228,2.7175979402869617
229,2.7375979402869617
230,2.7575979402869617
231,2.7775979402869617
232,2.7975979402869617
233,2.8175979402869618
234,2.8375979402869618
235,2.857597940286962
236,2.877597940286962
237,2.897597940286962
238,2.917597940286962
239,2.937597940286962
240,2.957597940286962
241,2.975595380332277
242,2.989993332368529
243,3.0015116939975304
244,3.0107263833007316
245,3.0180981347432927
246,3.0239955358973414
247,3.0287134568205802
248,3.0324877935591714
249,3.0355072629500444
250,3.037922838462743
251,3.0398552988729017
252,3.041401267201029
253,3.0426380418635306
254,3.0436274615935317
255,3.044418997377533
256,3.0450522260047337
257,3.0450851405135366
