,X
0,0.0
1,0.0005
2,0.0010999999999999998
3,0.0018199999999999998
4,0.0026839999999999998
5,0.0037208
6,0.004964959999999999
7,0.006457951999999999
8,0.008249542399999999
9,0.010399450879999998
10,0.012979341055999996
11,0.016075209267199995
12,0.019790251120639993
13,0.024248301344767992
14,0.02959796161372159
15,0.03417836929097727
16,0.03784269543278181
17,0.04077415634622545
18,0.04311932507698036
19,0.04499546006158429
20,0.046496368049267434
21,0.047697094439413945
22,0.04865767555153116
23,0.049426140441224925
24,0.05
25,0.0505
26,0.051100000000000007
27,0.051820000000000005
28,0.05268400000000001
29,0.05372080000000001
30,0.054964960000000014
31,0.05645795200000002
32,0.05824954240000002
33,0.060399450880000025
34,0.06297934105600003
35,0.06607520926720004
36,0.06979025112064004
37,0.07424830134476804
38,0.07959796161372164
39,0.08601755393646596
40,0.09372106472375914
41,0.10296527766851096
42,0.11405833320221315
43,0.12736999984265576
44,0.1433439998111869
45,0.16251279977342425
46,0.18251279977342424
47,0.20251279977342423
48,0.22251279977342422
49,0.24251279977342421
50,0.26251279977342423
51,0.28251279977342425
52,0.30251279977342427
53,0.3225127997734243
54,0.3425127997734243
55,0.3625127997734243
56,0.38251279977342434
57,0.40251279977342436
58,0.4225127997734244
59,0.4425127997734244
60,0.4625127997734244
61,0.48251279977342443
62,0.5025127997734244
63,0.5225127997734245
64,0.5425127997734245
65,0.5625127997734245
66,0.5825127997734245
67,0.6025127997734245
68,0.6225127997734246
69,0.6425127997734246
70,0.6625127997734246
71,0.6825127997734246
72,0.7025127997734246
73,0.7225127997734246
74,0.7425127997734247
75,0.7625127997734247
76,0.7825127997734247
77,0.8025127997734247
78,0.8225127997734247
79,0.8425127997734247
80,0.8625127997734248
81,0.8825127997734248
82,0.9025127997734248
83,0.9225127997734248
84,0.9425127997734248
85,0.9625127997734249
86,0.9805102398187399
87,0.9949081918549919
88,1.0064265534839936
89,1.0156412427871948
90,1.023012994229756
91,1.0289103953838048
92,1.0336283163070439
93,1.037402653045635
94,1.040422122436508
95,1.0428376979492064
96,1.0447701583593652
97,1.046316126687492
98,1.0475529013499936
99,1.048542321079995
100,1.0493338568639958
101,1.0499670854911967
102,1.05
103,1.0505
104,1.0511
105,1.05182
106,1.052684
107,1.0537208
108,1.05496496
109,1.056457952
110,1.0582495423999998
111,1.0603994508799996
112,1.0629793410559996
113,1.0660752092671995
114,1.0697902511206394
115,1.0742483013447672
116,1.0795979616137206
117,1.0860175539364647
118,1.0937210647237576
119,1.102965277668509
120,1.114058333202211
121,1.1273699998426532
122,1.1433439998111838
123,1.1625127997734206
124,1.1825127997734206
125,1.2025127997734206
126,1.2225127997734206
127,1.2425127997734207
128,1.2625127997734207
129,1.2825127997734207
130,1.3025127997734207
131,1.3225127997734207
132,1.3425127997734208
133,1.3625127997734208
134,1.3825127997734208
135,1.4025127997734208
136,1.4225127997734208
137,1.4425127997734208
138,1.4625127997734209
139,1.4825127997734209
140,1.502512799773421
141,1.522512799773421
142,1.542512799773421
143,1.562512799773421
144,1.582512799773421
145,1.602512799773421
146,1.622512799773421
147,1.642512799773421
148,1.662512799773421
149,1.682512799773421
150,1.702512799773421
151,1.722512799773421
152,1.742512799773421
153,1.7625127997734211
154,1.7825127997734211
155,1.8025127997734212
156,1.8225127997734212
157,1.8425127997734212
158,1.8625127997734212
159,1.8825127997734212
160,1.9025127997734212
161,1.9225127997734213
162,1.9401655073114137
163,1.9542876733418078
164,1.9655854061661229
165,1.974623592425575
166,1.9818541414331368
167,1.987638580639186
168,1.9922661320040256
169,1.9959681730958971
170,1.9989298059693945
171,2.0012991122681925
172,2.0031945573072307
173,2.0047109133384615
174,2.005923998163446
175,2.0068944660234336
176,2.0076708403114236
177,2.008276337463384
178,2.008776337463384
179,2.009376337463384
180,2.010096337463384
181,2.0109603374633838
182,2.011997137463384
183,2.013241297463384
184,2.014734289463384
185,2.016525879863384
186,2.018675788343384
187,2.021255678519384
188,2.0243515467305837
189,2.0280665885840237
190,2.0325246388081517
191,2.0378742990771053
192,2.0442938913998496
193,2.0519974021871428
194,2.0612416151318946
195,2.072334670665597
196,2.0856463373060397
197,2.101620337274571
198,2.1207891372368084
199,2.1407891372368084
200,2.1607891372368084
201,2.1807891372368085
202,2.2007891372368085
203,2.2207891372368085
204,2.2407891372368085
205,2.2607891372368085
206,2.2807891372368085
207,2.3007891372368086
208,2.3207891372368086
209,2.3407891372368086
210,2.3607891372368086
211,2.3807891372368086
212,2.4007891372368086
213,2.4207891372368087
214,2.4407891372368087
215,2.4607891372368087
216,2.4807891372368087
217,2.5007891372368087
218,2.5207891372368088
219,2.5407891372368088
220,2.560789137236809
221,2.580789137236809
222,2.600789137236809
223,2.620789137236809
224,2.640789137236809
225,2.660789137236809
226,2.680789137236809
227,2.700789137236809
228,2.720789137236809
229,2.740789137236809
230,2.760789137236809
231,2.780789137236809
232,2.800789137236809
233,2.820789137236809
234,2.840789137236809
235,2.860789137236809
236,2.880789137236809
237,2.900789137236809
238,2.920789137236809
239,2.9387865772821242
240,2.953184529318376
241,2.9647028909473776
242,2.973917580250579
243,2.98128933169314
244,2.9871867328471886
245,2.9919046537704275
246,2.9956789905090186
247,2.9986984598998916
248,3.00111403541259
249,3.003046495822749
250,3.004592464150876
251,3.005829238813378
252,3.006818658543379
253,3.00761019432738
254,3.008243422954581
255,3.008276337463384
